year|topic|exam|exercise|exercise_type
2019|redox|Reserva 4|Ejercicio 3 Opción A|pilas galvánicas
2019|redox|Reserva 4|Ejercicio 6 Opción B|ajuste reacción redox (rendimiento)
2019|redox|Septiembre|Ejercicio 6 Opción A|ajuste reacción redox (rendimiento)
2019|redox|Septiembre|Ejercicio 6 Opción B|ley de Faraday
2020|redox|Junio|C4|ajuste reacción redox (reactivo limitante)
2020|redox|Reserva 1|Ejercicio B5|pilas galvánicas
2020|redox|Reserva 1|Ejercicio C4|ley de Faraday
2020|redox|Reserva 2|Ejercicio B4|pilas galvánicas
2020|redox|Reserva 2|Ejercicio C4|ajuste reacción redox (rendimiento)
2020|redox|Reserva 3|Ejercicio C4|ajuste reacción redox (riqueza)
2020|redox|Reserva 4|Ejercicio B6|pilas galvánicas
2020|redox|Reserva 4|Ejercicio C4|ajuste reacción redox (reactivo limitante)
2020|redox|Septiembre|Ejercicio C2|ley de Faraday
2021|redox|Julio|Ejercicio C4|ajuste reacción redox (riqueza)
2021|redox|Junio|Ejercicio C4|ajuste reacción redox (riqueza)
2021|redox|Reserva 1|Ejercicio B5|verdadero o falso
2021|redox|Reserva 1|Ejercicio C2|ley de Faraday
2021|redox|Reserva 2|Ejercicio B5|pilas galvánicas
2021|redox|Reserva 2|Ejercicio C4|ley de Faraday
2021|redox|Reserva 3|Ejercicio B4|verdadero o falso
2021|redox|Reserva 3|Ejercicio C4|ajuste reacción redox (riqueza)
2021|redox|Reserva 4|Ejercicio C4|ajuste reacción redox (rendimiento)
2022|redox|Julio|Ejercicio B5|pilas galvánicas
2022|redox|Julio|Ejercicio C4|ley de Faraday
2022|redox|Junio|Ejercicio C4|ajuste reacción redox (riqueza)
2022|redox|Reserva 1|Ejercicio B4|pilas galvánicas
2022|redox|Reserva 1|Ejercicio C4|ajuste reacción redox (reactivo limitante)
2022|redox|Reserva 2|Ejercicio C4|ajuste reacción redox (rendimiento)
2022|redox|Reserva 3|Ejercicio C4|ajuste reacción redox (reactivo limitante)
2022|redox|Reserva 4|Ejercicio B5|pilas galvánicas
2022|redox|Reserva 4|Ejercicio C2|ley de Faraday
2023|redox|Julio|Ejercicio C4|ajuste reacción redox (riqueza)
2023|redox|Junio|Ejercicio B5|pilas galvánicas
2023|redox|Junio|Ejercicio C4|ley de Faraday
2023|redox|Reserva 1|Ejercicio B2|verdadero o falso
2023|redox|Reserva 1|Ejercicio C2|ley de Faraday
2023|redox|Reserva 2|Ejercicio C4|ajuste reacción redox (reactivo limitante)
2023|redox|Reserva 3|Ejercicio B4|pilas galvánicas
2023|redox|Reserva 3|Ejercicio C4|ajuste reacción redox (reactivo limitante)
2023|redox|Reserva 4|Ejercicio C4|ajuste reacción redox (riqueza)
2024|redox|Julio|Ejercicio C4|ajuste reacción redox (riqueza)
2024|redox|Junio|Ejercicio C4|ajuste reacción redox (reactivo limitante)
2024|redox|Reserva 1|Ejercicio C4|ajuste reacción redox (riqueza)
2024|redox|Reserva 2|Ejercicio B4|pilas galvánicas
2024|redox|Reserva 2|Ejercicio C4|ajuste reacción redox (riqueza)
2024|redox|Reserva 3|Ejercicio B5|NaN
2024|redox|Reserva 3|Ejercicio C2|ley de Faraday
2024|redox|Reserva 4|Ejercicio B5|pilas galvánicas
2024|redox|Reserva 4|Ejercicio C4|ley de Faraday
2025|redox|Julio|Ejercicio 3B|ajuste reacción redox (riqueza)
2025|redox|Junio|Ejercicio 5|ley de Faraday
2025|redox|Reserva 1|Ejercicio 3B|ajuste reacción redox (rendimiento)
2025|redox|Reserva 2|Ejercicio 2A|verdadero o falso
2025|redox|Reserva 2|Ejercicio 3A|ley de Faraday
