year|exam|exercise|topic|exercise_type
2017|Reserva 3|Ejercicio 2 Opción B|conf_electronica|electrón diferenciador
2017|Reserva 4|Ejercicio 2 Opcion A|conf_electronica|verdadero o falso
2017|Reserva 4|Ejercicio 2 Opción B|conf_electronica|verdadero o falso
2017|Septiembre|Ejercicio 2 Opcion A|conf_electronica|especies isoelectrónicas (Na+ y Ne)
2017|Septiembre|Ejercicio 2 Opción B|conf_electronica|verdadero o falso
2018|Junio|Ejercicio 2 Opción A|conf_electronica|propiedades periódicas
2018|Junio|Ejercicio 2 Opción B|conf_electronica|verdadero o falso
2018|Reserva 1|Ejercicio 2 Opcion A|conf_electronica|energía de orbitales
2018|Reserva 2|Ejercicio 2 Opción A|conf_electronica|verdadero o falso
2018|Reserva 2|Ejercicio 2 Opción B|conf_electronica|indicar qué configuraciones electrónicas son correctas o si pertenecen a un átomo en estado excitado o fundamental
2018|Reserva 3|Ejercicio 2 Opción A|conf_electronica|números cuánticos
2018|Reserva 4|Ejercicio 2 Opción B|conf_electronica|energía de orbitales
2018|Septiembre|Ejercicio 2 Opción A|conf_electronica|propiedades periódicas
2018|Septiembre|Ejercicio 2 Opción B|conf_electronica|electrón diferenciador
2019|Junio|Ejercicio 2 Opción A|conf_electronica|números cuánticos
2019|Reserva 1|Ejercicio 2 Opcion A|conf_electronica|propiedades periódicas
2019|Reserva 1|Ejercicio 2 Opción B|conf_electronica|ion estable
2019|Reserva 2|Ejercicio 2 Opcion A|conf_electronica|verdadero o falso
2019|Reserva 2|Ejercicio 2 Opción B|conf_electronica|verdadero o falso
2019|Reserva 3|Ejercicio 2 Opción B|conf_electronica|electrón diferenciador
2019|Reserva 4|Ejercicio 2 Opción A|conf_electronica|propiedades periódicas
2019|Reserva 4|Ejercicio 2 Opción B|conf_electronica|electrón diferenciador
2019|Septiembre|Ejercicio 2 Opcion A|conf_electronica|isoelectrónicos
2020|Junio|B1|conf_electronica|números cuánticos
2020|Junio|B4|conf_electronica|posición(periodo y grupo)
2020|Reserva 1|Ejercicio B1|conf_electronica|posición(periodo y grupo)
2020|Reserva 1|Ejercicio B2|conf_electronica|verdadero o falso
2020|Reserva 2|Ejercicio B1|conf_electronica|especies isoelectrónicas (Na+ y Ne)
2020|Reserva 2|Ejercicio B2|conf_electronica|verdadero o falso
2020|Reserva 3|Ejercicio B1|conf_electronica|ion estable
2020|Reserva 3|Ejercicio B4|conf_electronica|propiedades periódicas
2020|Reserva 4|Ejercicio B1|conf_electronica|propiedades periódicas
2020|Septiembre|B1|conf_electronica|ion estable
2020|Septiembre|B2|conf_electronica|posición(periodo y grupo)
2021|Julio|Ejercicio B1|conf_electronica|electrones desapareados
2021|Julio|Ejercicio B4|conf_electronica|verdadero o falso
2021|Junio|Ejercicio B1|conf_electronica|composición atómica
2021|Junio|Ejercicio B4|conf_electronica|verdadero o falso
2021|Reserva 1|Ejercicio B1|conf_electronica|verdadero o falso
2021|Reserva 1|Ejercicio B2|conf_electronica|propiedades periódicas
2021|Reserva 2|Ejercicio B1|conf_electronica|indicar qué configuraciones electrónicas son correctas o si pertenecen a un átomo en estado excitado o fundamental
2021|Reserva 2|Ejercicio B2|conf_electronica|isoelectrónicos
2021|Reserva 3|Ejercicio B1|conf_electronica|electrón diferenciador
2021|Reserva 3|Ejercicio B2|conf_electronica|verdadero o falso
2021|Reserva 4|Ejercicio B1|conf_electronica|verdadero o falso
2022|Julio|Ejercicio B1|conf_electronica|electrón diferenciador
2022|Julio|Ejercicio B2|conf_electronica|verdadero o falso
2022|Junio|Ejercicio B1|conf_electronica|electrón diferenciador
2022|Reserva 1|Ejercicio B1|conf_electronica|ion estable
2022|Reserva 1|Ejercicio B2|conf_electronica|electrones desapareados
2022|Reserva 2|Ejercicio B1|conf_electronica|verdadero o falso
2022|Reserva 2|Ejercicio B4|conf_electronica|posición(periodo y grupo)
2022|Reserva 3|Ejercicio B1|conf_electronica|números cuánticos
2022|Reserva 3|Ejercicio B4|conf_electronica|posición(periodo y grupo)
2022|Reserva 4|Ejercicio B1|conf_electronica|verdadero o falso
2022|Reserva 4|Ejercicio B2|conf_electronica|propiedades periódicas
2023|Julio|Ejercicio B1|conf_electronica|posición(periodo y grupo)
2023|Julio|Ejercicio B4|conf_electronica|verdadero o falso
2023|Junio|Ejercicio B1|conf_electronica|números cuánticos
2023|Junio|Ejercicio B2|conf_electronica|verdadero o falso
2024|Julio|Ejercicio B1|conf_electronica|ion estable
2024|Julio|Ejercicio B4|conf_electronica|propiedades periódicas
2024|Junio|Ejercicio B1|conf_electronica|verdadero o falso
2024|Junio|Ejercicio B4|conf_electronica|posición(periodo y grupo)
2024|Reserva 1|Ejercicio B1|conf_electronica|números cuánticos
2024|Reserva 2|Ejercicio B2|conf_electronica|isoelectrónicos
2024|Reserva 3|Ejercicio B1|conf_electronica|electrón diferenciador
2024|Reserva 3|Ejercicio B2|conf_electronica|verdadero o falso
2024|Reserva 4|Ejercicio B1|conf_electronica|electrón diferenciador
2024|Reserva 4|Ejercicio B2|conf_electronica|verdadero o falso
2025|Julio|Ejercicio 1A|conf_electronica|verdadero o falso
2025|Julio|Ejercicio 1B|conf_electronica|posición(periodo y grupo)
2025|Junio|Ejercicio 1A|conf_electronica|posición(periodo y grupo)
2025|Reserva 1|Ejercicio 1A|conf_electronica|posición(periodo y grupo)
2025|Reserva 2|Ejercicio 1A|conf_electronica|números cuánticos
