topic|year|exam|exercise|statement
formulacion|2001|Junio|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Sulfuro de hidrógeno; b) Nitrito de plata;
c) Clorobenceno; d) Mn(OH), ; e) H,Se0O, ; £) CH,CHO"
formulacion|2001|Junio|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Hidrogenosulfato de potasio; b) Óxido de
vanadio (V); c) Acido 2-metilpentanoico; d) RbCIO, ; €e) BaCl,; f) CH,CH,NHCH,"
formulacion|2001|Reserva 1|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Sulfito de sodio; b) Hidróxido de níquel(II);
c) Propanal; d) HBrO; e) SnCl, ; f£) CH, = CHCH = CHCH,"
formulacion|2001|Reserva 1|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Ácido cloroso; b) Yoduro de amonio;
c) Ciclohexano; d) As,S,; e) KHCO;; f£) CH,CH,COOCH,CH,"
formulacion|2001|Reserva 2|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Hipoyodito de sodio; b) Óxido de teluro(IV);
c) Fenol; d) LiCl; e) CaH, ; f) CH,CH,OCH,CH,;"
formulacion|2001|Reserva 2|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Perclorato de cromo(III); b) Nitrato de
paladio(11); c) Propanona; d) H,SO, ; e) CsSOH; f) CH,CH,Br"
formulacion|2001|Reserva 3|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Óxido de magnesio; b) Cromato de
mercurio(1); c) 3-Etil-3-metilpentano; d) PbSO, ; e) PH,; f£) CH,COCH,CH,"
formulacion|2001|Reserva 3|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Hidróxido de bario; b) Permanganato de litio;
e) Dietil éter; d) Ca,(PO,),; €) B,O,; f) CH,CH,CH,CI"
formulacion|2001|Reserva 4|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Sulfuro de cinc; b) Yodito de cesio;
c) 1,2-Dietilbenceno; d) UO, ; e) Sn(NO,), ; f£) CH,CH,COOH"
formulacion|2001|Reserva 4|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Óxido de cobalto (IID); b) Tetracloruro de
titanio; c) 1,2,4-Trimetilciclohexano; d) SO, ; e) HBrO, ; f) CH,CH,NH,"
formulacion|2001|Septiembre|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Cromato de estaño(IV) ; b) Fluoruro de
vanadio(III) ; c) p-Nitrofenol ; d) NaH,PO, ; €) T1,O; ; f£) CH,CH = CHCH,CH,"
formulacion|2001|Septiembre|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Nitrato de cobre(IT) ; b) Hidróxido de cesio ;
c) Acido benzoico ; d) Bi,O, ; €e) (NH,),S ; f£) CH,NH,"
formulacion|2001|Junio|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Sulfuro de hidrógeno; b) Nitrito de plata;
c) Clorobenceno; d) Mn(OH), ; e) H,Se0O, ; £) CH,CHO"
formulacion|2001|Junio|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Hidrogenosulfato de potasio; b) Óxido de
vanadio (V); c) Acido 2-metilpentanoico; d) RbCIO, ; €e) BaCl,; f) CH,CH,NHCH,"
formulacion|2001|Reserva 1|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Sulfito de sodio; b) Hidróxido de níquel(II);
c) Propanal; d) HBrO; e) SnCl, ; f£) CH, = CHCH = CHCH,"
formulacion|2001|Reserva 1|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Ácido cloroso; b) Yoduro de amonio;
c) Ciclohexano; d) As,S,; e) KHCO;; f£) CH,CH,COOCH,CH,"
formulacion|2001|Reserva 2|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Hipoyodito de sodio; b) Óxido de teluro(IV);
c) Fenol; d) LiCl; e) CaH, ; f) CH,CH,OCH,CH,;"
formulacion|2001|Reserva 2|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Perclorato de cromo(III); b) Nitrato de
paladio(11); c) Propanona; d) H,SO, ; e) CsSOH; f) CH,CH,Br"
formulacion|2001|Reserva 3|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Óxido de magnesio; b) Cromato de
mercurio(1); c) 3-Etil-3-metilpentano; d) PbSO, ; e) PH,; f£) CH,COCH,CH,"
formulacion|2001|Reserva 3|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Hidróxido de bario; b) Permanganato de litio;
e) Dietil éter; d) Ca,(PO,),; €) B,O,; f) CH,CH,CH,CI"
formulacion|2001|Reserva 4|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Sulfuro de cinc; b) Yodito de cesio;
c) 1,2-Dietilbenceno; d) UO, ; e) Sn(NO,), ; f£) CH,CH,COOH"
formulacion|2001|Reserva 4|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Óxido de cobalto (IID); b) Tetracloruro de
titanio; c) 1,2,4-Trimetilciclohexano; d) SO, ; e) HBrO, ; f) CH,CH,NH,"
formulacion|2001|Septiembre|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Cromato de estaño(IV) ; b) Fluoruro de
vanadio(III) ; c) p-Nitrofenol ; d) NaH,PO, ; €) T1,O; ; f£) CH,CH = CHCH,CH,"
formulacion|2001|Septiembre|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Nitrato de cobre(IT) ; b) Hidróxido de cesio ;
c) Acido benzoico ; d) Bi,O, ; €e) (NH,),S ; f£) CH,NH,"
formulacion|2002|Junio|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Hidróxido de hierro(III); b) Sulfato de
potasio; c) Ciclohexano; d) BaCO, ; €e) H,0,; f) CH,CH,CHCI,"
formulacion|2002|Junio|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Permanganato de bario; b) Dióxido de azufre;
ce) Acido 3-metilbutanoico; d) NaNO, ; e) AgF; f£) CH,COCH,"
formulacion|2002|Reserva 1|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos:a) Sulfuro de hidrógeno; b) Óxido de vanadio(V);
c) Ácido 3-metilbutanoico; d) K,SO;; e) Hg(OH), ; f) CH,CH,CHO."
formulacion|2002|Reserva 1|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Nitrito de hierro(I1); b) Peróxido de cobre(I1);
c) 3-Pentanona; d) LiH; e) K,HPO,; f) CH,COOCH,CH,"
formulacion|2002|Reserva 2|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Hipobromito de sodio; b) Ácido fosfórico ;
c) m-Dimetilbenceno; d) FeO; e) Sil,; £) CH, = CHCH = CH,"
formulacion|2002|Reserva 2|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Perclorato de cromo(III); b) Nitrato de
paladio(11); c) 1,3-Propanodiol; d) FeCl, ; e) Ag,0 ; f) CH,COOCH,CH,CH, ."
formulacion|2002|Reserva 3|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Clorato de calcio; b) Hidróxido de níquel(I1);
c) Propanal; d) Na,0,; €) Fe,S, ; f) CH,CH,NHCH, ."
formulacion|2002|Reserva 3|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos a) Hidruro de aluminio; b) Hipoyodito de
cobre(II); c) o-Dibromobenceno; d) NH,Cl ; e) BaCr,O,; f£) CH,CH,OCH,"
formulacion|2002|Reserva 4|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Nitrato de plata; b) Sulfuro de cobalto(I1);
c) o-Nitrofenol; d) SiO,; €) TiF, ; f£) CH,NH,"
formulacion|2002|Reserva 4|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Bromato de sodio; b) Ácido sulfuroso;
c) 2-Metil-1-penteno; d) AuCl, ; e) LiOH; f£) CH,CH,CH,CH,OH"
formulacion|2002|Septiembre|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Hidróxido de platino(IV) b) Dióxido de azufre;
c) Propeno; d) KMn0, ; e) CsHSO;; f) CH,CH,OH"
formulacion|2002|Septiembre|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Hidrógenocarbonato de sodio; b) Sulfuro de
plomo(II); c) Benceno; d) Al,0;; e) H,CrO,; £) CH=C-CH,"
formulacion|2002|Junio|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Hidróxido de hierro(III); b) Sulfato de
potasio; c) Ciclohexano; d) BaCO, ; €e) H,0,; f) CH,CH,CHCI,"
formulacion|2002|Junio|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Permanganato de bario; b) Dióxido de azufre;
ce) Acido 3-metilbutanoico; d) NaNO, ; e) AgF; f£) CH,COCH,"
formulacion|2002|Reserva 1|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos:a) Sulfuro de hidrógeno; b) Óxido de vanadio(V);
c) Ácido 3-metilbutanoico; d) K,SO;; e) Hg(OH), ; f) CH,CH,CHO."
formulacion|2002|Reserva 1|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Nitrito de hierro(I1); b) Peróxido de cobre(I1);
c) 3-Pentanona; d) LiH; e) K,HPO,; f) CH,COOCH,CH,"
formulacion|2002|Reserva 2|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Hipobromito de sodio; b) Ácido fosfórico ;
c) m-Dimetilbenceno; d) FeO; e) Sil,; £) CH, = CHCH = CH,"
formulacion|2002|Reserva 2|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Perclorato de cromo(III); b) Nitrato de
paladio(11); c) 1,3-Propanodiol; d) FeCl, ; e) Ag,0 ; f) CH,COOCH,CH,CH, ."
formulacion|2002|Reserva 3|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Clorato de calcio; b) Hidróxido de níquel(I1);
c) Propanal; d) Na,0,; €) Fe,S, ; f) CH,CH,NHCH, ."
formulacion|2002|Reserva 3|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos a) Hidruro de aluminio; b) Hipoyodito de
cobre(II); c) o-Dibromobenceno; d) NH,Cl ; e) BaCr,O,; f£) CH,CH,OCH,"
formulacion|2002|Reserva 4|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Nitrato de plata; b) Sulfuro de cobalto(I1);
c) o-Nitrofenol; d) SiO,; €) TiF, ; f£) CH,NH,"
formulacion|2002|Reserva 4|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Bromato de sodio; b) Ácido sulfuroso;
c) 2-Metil-1-penteno; d) AuCl, ; e) LiOH; f£) CH,CH,CH,CH,OH"
formulacion|2002|Septiembre|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Hidróxido de platino(IV) b) Dióxido de azufre;
c) Propeno; d) KMn0, ; e) CsHSO;; f) CH,CH,OH"
formulacion|2002|Septiembre|Ejercicio 1 Opción B|"Formule o nombre los siguientes compuestos: a) Hidrógenocarbonato de sodio; b) Sulfuro de
plomo(II); c) Benceno; d) Al,0;; e) H,CrO,; £) CH=C-CH,"
formulacion|2003|Junio|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Peróxido de bario; b) Ácido clórico; c) 1,2-
Etanodiol; d) MnI,; e) FesO,; £ CH=CH"
formulacion|2003|Junio|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidróxido de plata ; b) Fluoruro de hidrógeno
c) Etanoamida ; d) (NH,),SO, ; e) H,O, ; f£) CH,CH,COOH"
formulacion|2003|Reserva 1|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Sulfito de calcio; b) Hidróxido de estroncio;
€) Metanal; d) PtI, ; e) H;PO, ; f) CH, = CHCH = CH,"
formulacion|2003|Reserva 1|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Ácido perclórico; b) Óxido de titanio(IV) ;
c) Fenol ; d) PbF, ; e) NH,HCO; ; f) CH,COOCH,"
formulacion|2003|Reserva 2|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Óxido de zirconio(IV); b) Sulfuro de
arsénico(III); c) 3-Metilpentano ; d) KMnO; ; e) LiH ; f£) CH,COCH,"
formulacion|2003|Reserva 2|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidróxido de magnesio; b) Yodato de potasio;
c) Etilmetil éter; d) NaClO; e) H,Se ; £) CH,BrCHBrCH,CH,"
formulacion|2003|Reserva 3|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Bromuro de hidrógeno; b) Fosfato de litio;
c) 2-Buteno; d) Co(OH),; e) HNO, ; f) CH,CHO"
formulacion|2003|Reserva 3|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidrogenocarbonato de cesio; b) Óxido de
cadmio; c) o-Dimetilbenceno; d) Al(OH);; e) CrF,; f) (CH;); N"
formulacion|2003|Reserva 4|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Cromato de calcio; b) Peróxido de estroncio;
c) 2-Pentanona; d) HCIO,; €e) N;O;; f) CH, = CHCH,CH = CHCH,"
formulacion|2003|Reserva 4|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Sulfuro de cinc; b) Ácido bromoso;
c) Metilpropano; d) CO; e) Fe(NO;); ; £) CH,OHCHOHCH,OH"
formulacion|2003|Septiembre|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Óxido de cromo(IIT) ; b) Nitrato de magnesio
c) Ácido benzoico ; d) HgS e) H;BO; ; f) CHCI,"
formulacion|2003|Septiembre|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Dihidrogenofosfato de aluminio; b) Cloruro de
estaño(IV) ; c) 2-Propanol ; d) Cu(BrO,), ; e) SbH; ; f£) CH;OCH,;"
formulacion|2003|Junio|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Peróxido de bario; b) Ácido clórico; c) 1,2-
Etanodiol; d) MnI,; e) FesO,; £ CH=CH"
formulacion|2003|Junio|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidróxido de plata ; b) Fluoruro de hidrógeno
c) Etanoamida ; d) (NH,),SO, ; e) H,O, ; f£) CH,CH,COOH"
formulacion|2003|Reserva 1|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Sulfito de calcio; b) Hidróxido de estroncio;
€) Metanal; d) PtI, ; e) H;PO, ; f) CH, = CHCH = CH,"
formulacion|2003|Reserva 1|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Ácido perclórico; b) Óxido de titanio(IV) ;
c) Fenol ; d) PbF, ; e) NH,HCO; ; f) CH,COOCH,"
formulacion|2003|Reserva 2|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Óxido de zirconio(IV); b) Sulfuro de
arsénico(III); c) 3-Metilpentano ; d) KMnO; ; e) LiH ; f£) CH,COCH,"
formulacion|2003|Reserva 2|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidróxido de magnesio; b) Yodato de potasio;
c) Etilmetil éter; d) NaClO; e) H,Se ; £) CH,BrCHBrCH,CH,"
formulacion|2003|Reserva 3|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Bromuro de hidrógeno; b) Fosfato de litio;
c) 2-Buteno; d) Co(OH),; e) HNO, ; f) CH,CHO"
formulacion|2003|Reserva 3|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidrogenocarbonato de cesio; b) Óxido de
cadmio; c) o-Dimetilbenceno; d) Al(OH);; e) CrF,; f) (CH;); N"
formulacion|2003|Reserva 4|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Cromato de calcio; b) Peróxido de estroncio;
c) 2-Pentanona; d) HCIO,; €e) N;O;; f) CH, = CHCH,CH = CHCH,"
formulacion|2003|Reserva 4|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Sulfuro de cinc; b) Ácido bromoso;
c) Metilpropano; d) CO; e) Fe(NO;); ; £) CH,OHCHOHCH,OH"
formulacion|2003|Septiembre|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Óxido de cromo(IIT) ; b) Nitrato de magnesio
c) Ácido benzoico ; d) HgS e) H;BO; ; f) CHCI,"
formulacion|2003|Septiembre|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Dihidrogenofosfato de aluminio; b) Cloruro de
estaño(IV) ; c) 2-Propanol ; d) Cu(BrO,), ; e) SbH; ; f£) CH;OCH,;"
formulacion|2004|Junio|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Sulfuro de potasio; b) Ácido brómico;
c) Metilciclohexano; d) Bi(OH); ; e) NaH,PO,; f) CH, = CHCH = CHCH,."
formulacion|2004|Junio|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Cromato de plata; b) Seleniuro de hidrógeno;
c) Acido benzoico d) CaH, ; €e) NO, ; f) CH,CH,OH."
formulacion|2004|Reserva 1|Ejercicio 1 Opción A|"Formule 0 nombre los compuestos siguientes: a) Hidróxido de berilio; b) Ácido perclórico;
c) Dietilamina; d) CuBr, e) Na,Cr,0,; f) CH,CHO."
formulacion|2004|Reserva 1|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidruro de magnesio; b) Sulfato de potasio;
c) 3-Metilhexano; d) Sb,O; ; e) HIO,; £) CH,CHFCH,."
formulacion|2004|Reserva 2|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Ácido cloroso; b) Hidróxido de magnesio;
c) Metanol; d) Na,S ; €e) CoPO,; f) CH,C =CH."
formulacion|2004|Reserva 2|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Óxido de oro(IID); b) Nitrito de cinc;
c) o-Bromofenol; d) AI(CHSO,); ; e) SiC1,; f£) CH,CH,COOCH;."
formulacion|2004|Reserva 3|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Óxido de platino(ID); b) Nitrato de hierro(III);
€e) 1,2-Dicloroetano; d) NaH; e) HBrO; f) CH,CH,COCH;."
formulacion|2004|Reserva 3|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Peróxido de bario; b) Fluoruro de plomo(11) ;
c) Metano d) Bi,O; ; €e) H,SO; ; f) CH,CH,CONH,"
formulacion|2004|Reserva 4|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Peróxido de estroncio; b) Cromato de
estaño(IV) ; c) 2-Butanol ; d) Li,SO, ; e) KOH ; f£) CH;CHBr,"
formulacion|2004|Reserva 4|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidruro de berilio ; b) Permanganato de sodio
) Ácido propenoico ; d) N,O; ; e) Ca(BrO;), ; f) CH;OCH,"
formulacion|2004|Septiembre|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Fluoruro de hidrógeno ; b) Hidróxido de litio ;
c) Nitrobenceno ; d) Na,0, ; €e) Ni(CIO;), ; f) CH, = CHCH = CH,"
formulacion|2004|Septiembre|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Nitrito de sodio ; b) Hidrogenocarbonato de
potasio ; c) Acido 2-hidroxibutanoico ; d) NH,Cl ; €) SO, ; f) (CH;); N"
formulacion|2004|Junio|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Sulfuro de potasio; b) Ácido brómico;
c) Metilciclohexano; d) Bi(OH); ; e) NaH,PO,; f) CH, = CHCH = CHCH,."
formulacion|2004|Junio|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Cromato de plata; b) Seleniuro de hidrógeno;
c) Acido benzoico d) CaH, ; €e) NO, ; f) CH,CH,OH."
formulacion|2004|Reserva 1|Ejercicio 1 Opción A|"Formule 0 nombre los compuestos siguientes: a) Hidróxido de berilio; b) Ácido perclórico;
c) Dietilamina; d) CuBr, e) Na,Cr,0,; f) CH,CHO."
formulacion|2004|Reserva 1|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidruro de magnesio; b) Sulfato de potasio;
c) 3-Metilhexano; d) Sb,O; ; e) HIO,; £) CH,CHFCH,."
formulacion|2004|Reserva 2|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Ácido cloroso; b) Hidróxido de magnesio;
c) Metanol; d) Na,S ; €e) CoPO,; f) CH,C =CH."
formulacion|2004|Reserva 2|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Óxido de oro(IID); b) Nitrito de cinc;
c) o-Bromofenol; d) AI(CHSO,); ; e) SiC1,; f£) CH,CH,COOCH;."
formulacion|2004|Reserva 3|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Óxido de platino(ID); b) Nitrato de hierro(III);
€e) 1,2-Dicloroetano; d) NaH; e) HBrO; f) CH,CH,COCH;."
formulacion|2004|Reserva 3|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Peróxido de bario; b) Fluoruro de plomo(11) ;
c) Metano d) Bi,O; ; €e) H,SO; ; f) CH,CH,CONH,"
formulacion|2004|Reserva 4|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Peróxido de estroncio; b) Cromato de
estaño(IV) ; c) 2-Butanol ; d) Li,SO, ; e) KOH ; f£) CH;CHBr,"
formulacion|2004|Reserva 4|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidruro de berilio ; b) Permanganato de sodio
) Ácido propenoico ; d) N,O; ; e) Ca(BrO;), ; f) CH;OCH,"
formulacion|2004|Septiembre|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Fluoruro de hidrógeno ; b) Hidróxido de litio ;
c) Nitrobenceno ; d) Na,0, ; €e) Ni(CIO;), ; f) CH, = CHCH = CH,"
