subject,year,topic,exam,exercise,statement
fisica,2017,Campo eléctrico y magnético,Junio,Ejercicio 2 Opción A,"a) Un haz de electrones atraviesa una región del espacio siguiendo una trayectoria rectilínea.
En dicha región hay aplicado un campo electrostático uniforme. ¿Es posible deducir algo
acerca de la orientación del campo? Repita el razonamiento para un campo magnético
uniforme.
b) Una bobina, de 10 espiras circulares de 15 cm de radio, está situada en una región en la que
existe un campo magnético uniforme cuya intensidad varía con el tiempo según:
B=2cos[2nt—%) T y cuya dirección forma un ángulo de 30% con el eje de la bobina. La
resistencia de la bobina es 0,2 Q. Calcule el flujo del campo magnético a través de la bobina en
función del tiempo y la intensidad de corriente que circula por ella en el instante t=3s.
FISICA. 2017. JUNIO. EJERCICIO 2. OPCIÓN A"
fisica,2017,Campo eléctrico y magnético,Junio,Ejercicio 2 Opción B,"a) Discuta la veracidad de las siguientes afirmaciones: i) “Al analizar el movimiento de una
partícula cargada positivamente en un campo eléctrico observamos que se desplaza
espontáneamente hacia puntos de potencial mayor”; ii) “Dos esferas de igual carga se repelen
con una fuerza F. Si duplicamos el valor de la carga de cada una de las esferas y también
duplicamos la distancia entre ellas, el valor F de la fuerza no varía”.
b) Se coloca una carga puntual de 4-107” C en el origen de coordenadas y otra carga puntual
de — 3-107 C enl punto (0,1) m. Calcule el trabajo que hay que realizar para trasladar una
carga de 2-10 -* C desde el punto (1,2) m hasta el punto (2,2) m.
K=9-10? Nm*C>
FISICA. 2017. JUNIO. EJERCICIO 2. OPCIÓN B"
fisica,2017,Campo eléctrico y magnético,Reserva 1,Ejercicio 2 Opción A,"a) Por un hilo recto muy largo, colocado sobre el eje Y, circula una corriente en el sentido
positivo de dicho eje. Una pequeña espira circular contenida en el plano XY se mueve con
velocidad constante. Describa razonadamente cuál es la corriente inducida en la espira si: i) la
velocidad de la espira está orientada según el sentido negativo del eje Y; ii) la velocidad está
dirigida en el sentido positivo del eje X.
b) A una espira circular de 4 cm de radio, que descansa en el plano XY, se le aplica un campo
magnético B=0'02t* k T, donde t es el tiempo en segundos. Represente gráficamente la
fuerza electromotriz inducida en el intervalo comprendido entre t=0s y t=4s.
FISICA. 2017. RESERVA 1. EJERCICIO 2. OPCIÓN A"
fisica,2017,Campo eléctrico y magnético,Reserva 1,Ejercicio 2 Opción B,"SELECTIVIDAD
a) Para dos puntos A y B de una región del espacio, en la que existe un campo eléctrico
uniforme, se cumple que V, > V,. Si dejamos libre una carga negativa en el punto medio del
segmento que une A con B, ¿a cuál de los dos puntos se acerca la carga? Razone la respuesta. b)
Una carga de 2'5-107* C se coloca en una región donde hay un campo eléctrico de intensidad
5'0-10* N.C”', dirigido en el sentido positivo del eje Y. Calcule el trabajo que la fuerza
eléctrica efectúa sobre la carga cuando ésta se desplaza 0,5 m en una dirección que forma un
ángulo de 30* con el eje X.
FISICA. 2017. RESERVA 1. EJERCICIO 2. OPCIÓN B"
fisica,2017,Campo eléctrico y magnético,Reserva 2,Ejercicio 2 Opcion A,"a) ¿En qué casos un campo magnético no ejerce fuerza sobre una partícula cargada? ¿Y sobre
un conductor rectilíneo indefinido por el que circula una corriente eléctrica? Razone las
respuestas.
b) Un protón penetra en un campo eléctrico uniforme E , de 200 N-C , con una velocidad y
, de 10 m-s7', perpendicular al campo. Calcule el campo magnético, B, que habría que
aplicar, superpuesto al eléctrico, para que la trayectoria del protón fuera rectilínea. Ayúdese de
un esquema. .
FISICA. 2017. RESERVA 2. EJERCICIO 2. OPCION A"
fisica,2017,Campo eléctrico y magnético,Reserva 2,Ejercicio 2 Opción B,"a) En la figura se muestra en color gris una región del espacio en la que hay un campo
electrostático uniforme E. Un electrón, un protón y un neutrón penetran en la región del
campo con velocidad constante v =voi desde la izquierda. Explique razonadamente cómo es el
movimiento de cada partícula si se desprecian los efectos de la gravedad.
b) En el átomo de hidrógeno, el electrón se encuentra sometido al campo eléctrico creado por el
protón. Calcule el trabajo realizado por el campo eléctrico para llevar el electrón desde un
punto P,, situado a 5'3-10-"" m del núcleo, hasta otro punto P,, situado a 4'76-10-"""" m
4,76-10-10 m del núcleo. Comente el signo del trabajo.
K=9-10? Nm”C” ;e=1'6.100 "" C
FISICA. 2017. RESERVA 2. EJERCICIO 2. OPCIÓN B"
fisica,2017,Campo eléctrico y magnético,Reserva 3,Ejercicio 2 Opción A,"a) Una espira conductora circular fija, con centro en el origen de coordenadas está contenida
en el plano XY. Un imán se mueve a lo largo del eje Z. Explique razonadamente cuál es el
sentido de circulación de la corriente inducida en la espira en los casos i) e ii) mostrados en las
figuras.
b) El eje de una bobina de 100 espiras circulares de 5 cm de radio es paralelo a un campo
magnético de intensidad B=0'5+0'2t? T. Si la resistencia de la bobina es 0,5 Q, ¿cuál es la
intensidad que circula por ella en el instante t=10 s?
FISICA. 2017. RESERVA 3. EJERCICIO 2. OPCIÓN A"
fisica,2017,Campo eléctrico y magnético,Reserva 3,Ejercicio 2 Opción B,"a) En una región del espacio existe un campo eléctrico uniforme. Si una carga negativa se
mueve en la dirección y sentido del campo, ¿aumenta o disminuye su energía potencial? ¿Y si la
carga fuera positiva? Razone las respuestas.
b) Una carga de 3-10-* C se encuentra en el origen de coordenadas y otra carga de
—3-107* C está situada en el punto (1,1) m. Calcule el trabajo para desplazar una carga de
5-10-* C desde el punto A (1,0) m hasta el punto B (2,0) m, e interprete el resultado.
K=9-10? Nm'?C>
FISICA. 2017. RESERVA 3. EJERCICIO 2. OPCIÓN B"
fisica,2017,Campo eléctrico y magnético,Reserva 4,Ejercicio 2 Opción A,"a) Una carga q negativa entra, con velocidad v, en una zona donde existe un campo eléctrico,
E , de dirección perpendicular a esa velocidad. Cuál debe ser la intensidad, dirección y sentido
del campo magnético B que habría que aplicar, superpuesto a E , para que la carga siguiera
una trayectoria rectilínea.
b) Un campo magnético, de intensidad B = 2sen (1007x t + x) (SI), forma un ángulo de 45 con el
plano de una espira circular de radio R = 12 cm. Calcule la fuerza electromotriz inducida en la
espira en el instante t=2s.
FISICA. 2017. RESERVA 4. EJERCICIO 2. OPCIÓN A"
fisica,2017,Campo eléctrico y magnético,Reserva 4,Ejercicio 2 Opción B,"a) Dos conductores rectilíneos e indefinidos paralelos, separados una distancia d, están
recorridos por corrientes de intensidad I. Analice las características de las fuerzas que se
ejercen entre sí los conductores en el caso en que los sentidos de las corrientes coincidan y en el
caso en que sean opuestos.
b) Dos conductores rectilíneos, paralelos y verticales, distan entre sí 20 cm. Por el primero de
ellos circula una corriente de 10 A hacia arriba. Calcule la corriente que debe circular por el
segundo conductor, colocado a la derecha del primero, para que el campo magnético total
creado por ambas corrientes en un punto situado a 5 cm a la izquierda del segundo conductor
se anule.
h, =4x:107 N- A
FISICA. 2017. RESERVA 4. EJERCICIO 2. OPCIÓN B"
fisica,2017,Campo eléctrico y magnético,Septiembre,Ejercicio 2 Opción A,"a) Un electrón, un protón y un átomo de hidrógeno penetran en una zona del espacio en la que
existe un campo magnético uniforme perpendicular a la velocidad de las partículas. Dibuje la
trayectoria que seguiría cada una de las partículas y compare las aceleraciones de las tres.
b) Dos pequeñas esferas cargadas están separadas una distancia de 5 cm. La carga de una de
las esferas es cuatro veces la de la otra y entre ambas existe una fuerza de atracción de 0,15 N.
Calcule la carga de cada esfera y el módulo del campo eléctrico en el punto medio del segmento
que las une.
K =9-10"" N.m?.C”
FISICA. 2017. SEPTIEMBRE. EJERCICIO 2. OPCIÓN A"
fisica,2017,Campo eléctrico y magnético,Septiembre,Ejercicio 2 Opción B,"a) Explique cómo se define el campo eléctrico creado por una carga puntual y razone cuál es el
valor del campo eléctrico en el punto medio entre dos cargas de valores q y —2q.
b) Determine la carga negativa de una partícula, cuya masa es 3,8 g, para que permanezca
suspendida en un campo eléctrico de 4500 NC-'. Haga una representación gráfica de las
fuerzas que actúan sobre la partícula.
2
2=9'8 ms""
FISICA. 2017. SEPTIEMBRE. EJERCICIO 2. OPCIÓN B"
fisica,2018,Campo eléctrico y magnético,Junio,Ejercicio 2 Opción A,"a) Una partícula cargada positivamente se mueve en la misma dirección y sentido de un campo
eléctrico uniforme. Responda razonadamente a las siguientes cuestiones: (i) ¿Se detendrá la
partícula?. (II) ¿Se desplazará la partícula hacia donde aumenta su energía potencial?.
b) Dos cargas puntuales q, =5-10 "" C y q,=- 5:107* C están situadas en los puntos A (0,0)
m y B (2,0) m respectivamente. Calcule el valor del campo eléctrico en el punto C (2,1) m.
K=9-100 N1m*C>
FISICA. 2018. JUNIO. EJERCICIO 2. OPCIÓN A"
fisica,2018,Campo eléctrico y magnético,Junio,Ejercicio 2 Opción B,"a) Un electrón se mueve con un movimiento rectilíneo uniforme por una región del espacio en
la que existen un campo eléctrico y un campo magnético. Justifique cual deberá ser la dirección
y sentido de ambos campos y deduzca la relación entre sus módulos. ¿Qué cambiaría si la
partícula fuese un protón?
b) Un conductor rectilíneo transporta una corriente de 10 A en el sentido positivo del eje Z. Un
protón situado a 50 cm del conductor se dirige perpendicularmente hacia el conductor con una
velocidad de 2-105 m-s'. Realice una representación gráfica indicando todas las magnitudes
vectoriales implicadas y determine el módulo, dirección y sentido de la fuerza que actúa sobre
el protón.
h, =47:1077 Tm- A ;e=1'6-10 "" C
FISICA. 2018. JUNIO. EJERCICIO 2. OPCIÓN B"
fisica,2018,Campo eléctrico y magnético,Reserva 1,Ejercicio 2 Opción A,"a) Explique las características de la fuerza magnética entre dos corrientes paralelas, rectilíneas
e infinitas.
b) Suponga dos hilos metálicos largos, rectilíneos y paralelos, por los que circulan corrientes en
el mismo sentido con intensidades I, =1 A e 1, =2 A. Si entre dichos hilos hay una separación
de 20 cm, calcule el vector campo magnético a 5 cm a la izquierda del primer hilo metálico.
h, =47:1077 Nm- A7
FISICA. 2018. RESERVA 1. EJERCICIO 2. OPCIÓN A"
fisica,2018,Campo eléctrico y magnético,Reserva 1,Ejercicio 2 Opción B,"a) Considere dos cargas eléctricas +q y —q situadas en dos puntos A y B. Razone cuál sería el
potencial electrostático en el punto medio del segmento que une los puntos A y B. ¿Puede
deducirse de dicho valor que el campo eléctrico es nulo en dicho punto? Justifique su respuesta.
b) Dos cargas positivas q, y q, se encuentran situadas en los puntos (0,0) m y (3,0) m
respectivamente. Sabiendo que el campo eléctrico es nulo en el punto (1,0) m y que el potencial
electrostático en el punto intermedio entre ambas vale 9-10* V, determine los valores de
dichas cargas.
K=9-100 ó1m*C>
FISICA. 2018. RESERVA 1. EJERCICIO 2. OPCIÓN B"
fisica,2018,Campo eléctrico y magnético,Reserva 2,Ejercicio 2 Opción A,"a) Una espira circular gira en torno a uno de sus diámetros en un campo magnético uniforme.
Razone, haciendo uso de las representaciones gráficas y las expresiones que precise, si se induce
fuerza electromotriz en la espira en los dos siguientes casos: (i) El campo magnético es paralelo
al eje de rotación; (ii) el campo magnético es perpendicular al eje de rotación.
b) Una bobina circular de 20 espiras y radio 5 cm se coloca en el seno de un campo magnético
dirigido perpendicularmente al plano de la bobina. El módulo del campo magnético varía con
el tiempo de acuerdo con la expresión B=0'02t+0'8t? (SI) . Determine: (i) El flujo magnético
que atraviesa la bobina en función del tiempo; (ii) la fem inducida en la bobina en el instante
t=5s.
FISICA. 2018. RESERVA 2. EJERCICIO 2. OPCIÓN A"
fisica,2018,Campo eléctrico y magnético,Reserva 2,Ejercicio 2 Opción B,"a) Explique qué son las líneas de campo eléctrico y las superficies equipotenciales. Razone si es
posible que se puedan cortar dos líneas de campo. Dibuje las líneas de campo y las superficies
equipotenciales correspondientes a una carga puntual positiva.
b) Una carga q, =8:10"""" C está fija en el origen de coordenadas, mientras que otra carga,
q, =- 107 C, se halla, también fija, en el punto (3,0) m. Determine: () El campo eléctrico,
debido a ambas cargas, en el punto A (4,0) m; (ii) el trabajo realizado por el campo para
desplazar una carga puntual q=-2:10 ""* C desde A (4,0) m hasta el punto B (0,4) m. ¿Qué
significado físico tiene el signo del trabajo?
K=9-100 ó1m*C>
FISICA. 2018. RESERVA 2. EJERCICIO 2. OPCIÓN B"
fisica,2018,Campo eléctrico y magnético,Reserva 3,Ejercicio 2 Opción A,"a) Una espira circular por la que circula una cierta intensidad de corriente se encuentra en
reposo en el plano XY. Otra espira circular situada en el mismo plano XY se acerca con
velocidad constante. Justifique si se inducirá una corriente eléctrica en la espira en movimiento
y, en caso afirmativo, explique cuál será la dirección y sentido de la misma. Repita los
razonamientos para el caso en que la espira en movimiento se aleje de la espira en reposo.
b) Una espira circular de 5 cm de radio se encuentra situada en el plano XY. En esa región del
espacio existe un campo magnético dirigido en la dirección positiva del eje Z. Si en el instante
inicial el valor del campo es de 5 T y a los 15 s se ha reducido linealmente a 1 T, calcule: (i) El
cambio de flujo magnético producido en la espira en ese tiempo; (ii) la fuerza electromotriz
inducida; (iii) la intensidad de corriente que circula por ella si la espira tiene una resistencia de
0,5 .
FISICA. 2018. RESERVA 3. EJERCICIO 2. OPCIÓN A"
fisica,2018,Campo eléctrico y magnético,Reserva 3,Ejercicio 2 Opción B,"puntos A y B (que se encuentran en la misma línea de campo) es V, y V¡, cumpliéndose que
V.>Vy¿. Se deja libre una carga Q en el punto medio del segmento AB. Razone cómo es el
movimiento de la carga en función de su signo.
b) Una esfera metálica de 24 g de masa colgada de un hilo muy fino de masa despreciable, se
encuentra en una región del espacio donde existe un campo eléctrico uniforme y horizontal. Al
cargar la esfera con 6-107* C, sufre una fuerza debida al campo eléctrico que hace que el hilo
forme un ángulo de 30* con la vertical. (i) Represente gráficamente esta situación y haga un
diagrama que muestre todas las fuerzas que actúan sobre la esfera; (ii) calcule el valor del
campo eléctrico y la tensión del hilo.
—2
2=9'8m-s
FISICA. 2018. RESERVA 3. EJERCICIO 2. OPCIÓN B"
fisica,2018,Campo eléctrico y magnético,Reserva 4,Ejercicio 2 Opción A,"a) Un protón y un electrón penetran con la misma velocidad perpendicularmente a un campo
magnético. ¿Cuál de los dos experimentará una mayor aceleración? ¿Qué partícula tendrá un
radio de giro mayor?
b) Un protón que parte del reposo se acelera mediante una diferencia de potencial de 5 kV.
Seguidamente entra en una región del espacio en la que existe un campo magnético uniforme
perpendicular a su velocidad. Si el radio de giro descrito por el protón es de 0,05 m, ¿qué valor
tendrá el módulo del campo magnético? Calcule el periodo del movimiento.
e=1'6-100""C; m, =1'7-10-7 kg
FISICA. 2018. RESERVA 4. EJERCICIO 2. OPCIÓN A"
fisica,2018,Campo eléctrico y magnético,Reserva 4,Ejercicio 2 Opción B,"a) Una espira circular se encuentra en reposo en una región del espacio. Indique,
razonadamente y con ayuda de un esquema, cuál será el sentido de la corriente inducida
cuando: (i) El polo norte de un imán se acerca perpendicularmente a la espira por el polo
norte; (ii) el imán está en reposo y orientado perpendicularmente a la superficie de la espira a
10 cm de su centro.
b) Una espira circular de 10 cm de radio, inicialmente contenida en un plano horizontal, gira a
407 rad-s-' en torno a uno de sus diámetros en el seno de un campo magnético uniforme
vertical de 0,4 T. Calcule el valor máximo de la fuerza electromotriz inducida en la espira.
FISICA. 2018. RESERVA 4. EJERCICIO 2. OPCIÓN B"
fisica,2018,Campo eléctrico y magnético,Septiembre,Ejercicio 2 Opción A,"a) Razone si cuando se sitúa una espira circular de radio fijo, en reposo, en el seno de un campo
magnético variable con el tiempo siempre se induce una fuerza electromotriz.
b) El flujo de un campo magnético que atraviesa cada espira de una bobina de 50 vueltas viene
dado por la expresión: D(t)=2:-10-?+25-10-*t* (SI). Deduzca la expresión de la fuerza
electromotriz inducida en la bobina y calcule su valor para t=10 s, así como la intensidad de
corriente inducida en la bobina, si ésta tiene una resistencia de 5 W.
FISICA. 2018. SEPTIEMBRE. EJERCICIO 2. OPCIÓN A"
fisica,2018,Campo eléctrico y magnético,Septiembre,Ejercicio 2 Opción B,"a) Un protón y una partícula alfa se mueven en el seno de un campo magnético uniforme
describiendo trayectorias circulares idénticas. ¿Qué relación existe entre sus velocidades,
sabiendo que m, =4m, y q, =24,?
b) Un electrón se mueve con una velocidad de 2-10? m-s”!
en el seno de un campo magnético
uniforme de módulo B=0'25 T. Calcule la fuerza que ejerce dicho campo sobre el electrón
cuando las direcciones del campo y de la velocidad del electrón son paralelas, y cuando son
perpendiculares. Determine la aceleración que experimenta el electrón en ambos casos.
e=1'6-10"" C ; m, =9'1-10-* kg
FISICA. 2018. SEPTIEMBRE. EJERCICIO 2. OPCIÓN B"
fisica,2019,Campo eléctrico y magnético,Junio,Ejercicio 2 Opción A,"a) Razone qué sentido tendrá la corriente inducida en una espira cuando: i) Acercamos
perpendicularmente al plano de la espira el polo norte de un imán. Haga un esquema
explicativo. ii) El plano de la espira se aleja del polo norte de un imán. Haga un esquema
explicativo.
b) Una espira rectangular como la de la figura posee uno de sus lados móvil que se mueve
dentro de un campo magnético uniforme de 078 T con una velocidad constante de 0'12m-s'.
Calcule: i) la f.e.m. inducida en la espira en función del tiempo. ii) La intensidad y el sentido de
la corriente que recorre la espira si su resistencia es de 072 Q.
FISICA. 2019. JUNIO. EJERCICIO 2. OPCIÓN A"
fisica,2019,Campo eléctrico y magnético,Junio,Ejercicio 2 Opción B,"a) Justifique la veracidad o falsedad de las siguientes afirmaciones: (i) Si las intensidades de
corriente que circulan por dos conductores rectilíneos, indefinidos, paralelos y separados por
una distancia, d, se duplican también se duplicará la fuerza por unidad de longitud que actúa
sobre cada conductor. (ii) Si lo que se duplicase fuese la distancia, entonces, la fuerza por
unidad de longitud que actúa sobre cada conductor se reduciría a la mitad.
b) Por un hilo conductor situado paralelo al ecuador terrestre pasa una corriente eléctrica que
lo mantiene suspendido en esa posición debido al magnetismo de la Tierra. Sabiendo que el
campo magnético es paralelo a la superficie y vale 5-10 * T y que el hilo tiene una densidad
longitudinal de masa de 4-107* g/m, calcule la intensidad de corriente que debe circular por
2
el conductor ayudándose del esquema correspondiente. g =9'8 m-s”
FISICA. 2019. JUNIO. EJERCICIO 2. OPCIÓN B"
fisica,2019,Campo eléctrico y magnético,Reserva 1,Ejercicio 2 Opción A,"a) Una espira cuadrada, situada en el plano vertical, se mueve horizontalmente atravesando
una región en donde hay un campo magnético uniforme perpendicular a la misma. Razone,
ayudándose de esquemas, si se induce corriente eléctrica en la espira y el sentido de circulación
de la misma cuando: i) La espira está entrando en el campo. ii) la espira se desplaza en el seno
del campo. iii) La espira está saliendo del campo.
b) Una espira circular de 0,05 m de radio está en un plano horizontal entre un dispositivo de
imanes que crea un campo magnético vertical hacia arriba de 0,8 T. Si durante 5-10*s se
gira a velocidad constante el sistema de imanes, haciendo rotar 60*% el campo magnético,
calcule: i) El flujo inicial y final que atraviesa la espira. ii) La fuerza electromotriz inducida en
la misma. iii) La intensidad de corriente inducida si la resistencia del conductor de la espira es
de 8 Q.
FISICA. 2019. RESERVA 1. EJERCICIO 2. OPCIÓN A"
fisica,2019,Campo eléctrico y magnético,Reserva 1,Ejercicio 2 Opción B,"a) Responda razonadamente a las siguientes preguntas ayudándose de un esquema en cada
caso: (i) ¿Realiza trabajo la fuerza magnética sobre una partícula cargada en movimiento?
(ii) En una región del espacio existen un campo eléctrico y otro magnético, ambos uniformes y
perpendiculares entre sí. ¿Bajo qué condición no varía la trayectoria de una partícula cargada
que penetra en dicha región con una velocidad perpendicular a ambos campos?
b) Un protón penetra en el seno de un campo magnético uniforme con una velocidad
perpendicular al campo. El protón describe una trayectoria circular con un periodo de
2:10* s y 0,03 m de radio. (i) Dibuje el esquema correspondiente y calcule el valor de su
velocidad y del campo magnético. (ii) Si introdujéramos en el campo un electrón con la misma
velocidad, dibuje u trayectoria y determine el valor de su radio.
e=1'6-10-"" C;m, =9'1-10-* kg ;m, =1'7-10-7 kg
FISICA. 2019. RESERVA 1. EJERCICIO 2. OPCIÓN B"
fisica,2019,Campo eléctrico y magnético,Reserva 2,Ejercicio 2 Opción A,"a) (i) Escriba la expresión matemática de la fuerza magnética sobre una carga puntual,
indicando el significado de las magnitudes que aparecen en la ecuación. (ii) Discuta, razonando
sus respuestas, bajo qué condiciones el módulo de la fuerza magnética es máximo y cuándo se
anula.
b) Dos conductores rectilíneos, paralelos y muy largos separados 0,2 m transportan corrientes
de 10 y 4 A, respectivamente, en sentidos opuestos. (i) Dibuje en un esquema el campo
magnético producido por cada uno de los conductores en un punto del plano definido por ellos
y situado a 0,1 m a la derecha del segundo y calcule la intensidad del campo total.
(ii) Determine la fuerza por unidad de longitud sobre uno de los conductores, indicando si es
atractiva o repulsiva.
h, =47:107 N- A?
FISICA. 2019. RESERVA 2. EJERCICIO 2. OPCIÓN A"
fisica,2019,Campo eléctrico y magnético,Reserva 2,Ejercicio 2 Opción B,"a) Una carga eléctrica puntual con valor Q se encuentra en el vacío. i) Escriba la expresión
matemática del potencial eléctrico en un punto genérico situado a una distancia r de la carga e
indique el significado de cada una de las magnitudes que aparecen en la expresión. ii) Si el
potencial aumenta al alejarnos de la carga, indique razonadamente el signo de la misma.
b) Considere una carga puntal de 5-10- C localizada en el vacío. Determine: i) El potencial
eléctrico creado por la carga puntual a una distancia de 0,5 m. ii) El trabajo necesario para
transportar una carga puntual de —2-10 -* C desde el infinito hasta una distancia de 0,5 m de
la carga original, indicando razonadamente el significado del signo del trabajo obtenido.
K=9-100 ó1m*C>
FISICA. 2019. RESERVA 2. EJERCICIO 2. OPCIÓN B"
fisica,2019,Campo eléctrico y magnético,Reserva 3,Ejercicio 2 Opción A,"a) Una espira circular de radio R se mueve con una velocidad constante v hacia la derecha,
atravesando una región en la que existe un campo magnético uniforme B, como se indica en la
figura. (i) Explique razonadamente en qué sentido circulará la corriente inducida en la espira
desde que comienza a entrar en la región del campo hasta que sale enteramente del mismo.
(ii) Amalice cualitativamente cómo varía la fuerza electromotriz inducida mientras está
entrando en el campo si la espira se desplaza a una velocidad mayor.
b) Una bobina de 80 espiras de radio 0,06 m se coloca en un campo magnético de manera que el
flujo que la atraviesa sea máximo. Si el campo varía de acuerdo con la función
B=0'5-0'02t (T), determine: (i) El flujo que atraviesa cada espira de la bobina en t=10s
(ii) La fuerza electromotriz inducida en la bobina.
FISICA. 2019. RESERVA 3. EJERCICIO 2. OPCIÓN A"
