year,subject,topic,exam,exercise,exercise_type
2016,química,acido_base,Reserva 3,Ejercicio 4 Opción B,hidrólisis de sales
2016,química,acido_base,Septiembre,Ejercicio 6 Opción A,reacciones ácido /  base débil
2016,química,acido_base,Septiembre,Ejercicio 4 Opción B,cuestión teórica
2015,química,acido_base,Junio,Ejercicio 6 Opción A,reacciones ácido /  base débil
2015,química,acido_base,Junio,Ejercicio 4 Opción B,hidrólisis de sales
2015,química,acido_base,Reserva 1,Ejercicio 4 Opción A,neutralización ácido base
2015,química,acido_base,Reserva 2,Ejercicio 5 Opción B,neutralización ácido base
2015,química,acido_base,Reserva 3,Ejercicio 4 Opción B,verdadero o falso
2015,química,acido_base,Reserva 3,Ejercicio 5 Opción A,reacciones ácido /  base débil
2015,química,acido_base,Reserva 4,Ejercicio 4 Opción B,verdadero o falso
2015,química,acido_base,Reserva 4,Ejercicio 6 Opción A,neutralización ácido base
2015,química,acido_base,Septiembre,Ejercicio 4 Opción B,cuestión teórica
2015,química,acido_base,Septiembre,Ejercicio 5 Opción B,neutralización ácido base
2014,química,acido_base,Junio,Ejercicio 4 Opción B,verdadero o falso
2014,química,acido_base,Junio,Ejercicio 6 Opción A,neutralización ácido base
2014,química,acido_base,Reserva 1,Ejercicio 4 Opción B,cuestión teórica
2014,química,acido_base,Reserva 1,Ejercicio 5 Opción A,reacciones ácido /  base débil
2014,química,acido_base,Reserva 2,Ejercicio 4 Opción B,cuestión teórica
2014,química,acido_base,Reserva 2,Ejercicio 6 Opción A,reacciones ácido /  base débil
2014,química,acido_base,Reserva 3,Ejercicio 4 Opción A,cuestión teórica
2014,química,acido_base,Reserva 4,Ejercicio 4 Opción B,verdadero o falso
2014,química,acido_base,Septiembre,Ejercicio 5 Opción B,reacciones ácido /  base débil
2013,química,acido_base,Junio,Ejercicio 5 Opción B,neutralización ácido base
2013,química,acido_base,Reserva 1,Ejercicio 6 Opción A,reacciones ácido /  base débil
2013,química,acido_base,Reserva 1,Ejercicio 4 Opción B,hidrólisis de sales
2013,química,acido_base,Reserva 2,Ejercicio 6 Opción A,reacciones ácido /  base débil
2013,química,acido_base,Reserva 2,Ejercicio 4 Opción B,cuestión teórica
2013,química,acido_base,Reserva 3,Ejercicio 5 Opción A,neutralización ácido base
2013,química,acido_base,Reserva 3,Ejercicio 4 Opción B,cuestión teórica
2013,química,acido_base,Reserva 4,Ejercicio 4 Opción B,cuestión teórica
2013,química,acido_base,Septiembre,Ejercicio 4 Opción A,hidrólisis de sales
2012,química,acido_base,Junio,Ejercicio 6 Opción A,reacciones ácido /  base débil
2012,química,acido_base,Junio,Ejercicio 4 Opción B,hidrólisis de sales
2012,química,acido_base,Reserva 1,Ejercicio 4 Opción A,cuestión teórica
2012,química,acido_base,Reserva 2,Ejercicio 5 Opción A,neutralización ácido base
2012,química,acido_base,Reserva 2,Ejercicio 4 Opción B,cuestión teórica
2012,química,acido_base,Reserva 3,Ejercicio 6 Opción A,neutralización ácido base
2012,química,acido_base,Reserva 3,Ejercicio 4 Opción B,cuestión teórica
2012,química,acido_base,Reserva 4,Ejercicio 4 Opción B,hidrólisis de sales
2012,química,acido_base,Septiembre,Ejercicio 5 Opción B,reacciones ácido /  base débil
2011,química,acido_base,Junio,Ejercicio 5 Opción A,reacciones ácido /  base débil
2011,química,acido_base,Junio,Ejercicio 4 Opción B,hidrólisis de sales
2011,química,acido_base,Reserva 1,Ejercicio 5 Opción B,neutralización ácido base
2011,química,acido_base,Reserva 2,Ejercicio 6 Opción A,reacciones ácido /  base débil
2011,química,acido_base,Reserva 2,Ejercicio 4 Opción B,cuestión teórica
2011,química,acido_base,Reserva 3,Ejercicio 4 Opción A,cuestión teórica
2011,química,acido_base,Reserva 4,Ejercicio 6 Opción A,neutralización ácido base
2011,química,acido_base,Reserva 4,Ejercicio 4 Opción B,verdadero o falso
2011,química,acido_base,Septiembre,Ejercicio 4 Opción B,verdadero o falso
2010,química,acido_base,Junio,Ejercicio 6 Opción A,reacciones ácido /  base débil
2010,química,acido_base,Junio,Ejercicio 4 Opción B,cuestión teórica
2010,química,acido_base,Reserva 1,Ejercicio 4 Opción A,cuestión teórica
2010,química,acido_base,Reserva 2,Ejercicio 5 Opción B,reacciones ácido /  base débil
2010,química,acido_base,Reserva 3,Ejercicio 6 Opción A,neutralización ácido base
2010,química,acido_base,Reserva 3,Ejercicio 4 Opción B,neutralización ácido base
2010,química,acido_base,Reserva 4,Ejercicio 4 Opción B,cuestión teórica
2010,química,acido_base,Septiembre,Ejercicio 5 Opción A,neutralización ácido base
2010,química,acido_base,Septiembre,Ejercicio 4 Opción B,cuestión teórica
2009,química,acido_base,Junio,Ejercicio 3 Opción A,hidrólisis de sales
2009,química,acido_base,Junio,Ejercicio 5 Opción B,reacciones ácido /  base débil
2009,química,acido_base,Reserva 1,Ejercicio 5 Opción A,neutralización ácido base
2009,química,acido_base,Reserva 1,Ejercicio 4 Opción B,cuestión teórica
2009,química,acido_base,Reserva 2,Ejercicio 6 Opción A,reacciones ácido /  base débil
2009,química,acido_base,Reserva 3,Ejercicio 4 Opción A,cuestión teórica
2009,química,acido_base,Reserva 4,Ejercicio 6 Opción A,reacciones ácido /  base débil
2009,química,acido_base,Reserva 4,Ejercicio 4 Opción B,verdadero o falso
2009,química,acido_base,Septiembre,Ejercicio 6 Opción A,reacciones ácido /  base débil
2009,química,acido_base,Septiembre,Ejercicio 4 Opción B,cuestión teórica
2008,química,acido_base,Junio,Ejercicio 6 Opción A,reacciones ácido /  base débil
2008,química,acido_base,Junio,Ejercicio 4 Opción B,neutralización ácido base
2008,química,acido_base,Reserva 1,Ejercicio 4 Opción A,hidrólisis de sales
2008,química,acido_base,Reserva 2,Ejercicio 5 Opción A,neutralización ácido base
2008,química,acido_base,Reserva 2,Ejercicio 4 Opción B,verdadero o falso
2008,química,acido_base,Reserva 3,Ejercicio 6 Opción A,reacciones ácido /  base débil
2008,química,acido_base,Reserva 3,Ejercicio 4 Opción B,neutralización ácido base
2008,química,acido_base,Reserva 4,Ejercicio 6 Opción A,reacciones ácido /  base débil
2008,química,acido_base,Reserva 4,Ejercicio 4 Opción B,hidrólisis de sales
2008,química,acido_base,Septiembre,Ejercicio 3 Opción A,cuestión teórica
2008,química,acido_base,Septiembre,Ejercicio 5 Opción B,neutralización ácido base
2007,química,acido_base,Junio,Ejercicio 3 Opción A,cuestión teórica
2007,química,acido_base,Reserva 1,Ejercicio 6 Opción A,neutralización ácido base
2007,química,acido_base,Reserva 1,Ejercicio 4 Opción B,verdadero o falso
2007,química,acido_base,Reserva 2,Ejercicio 4 Opción A,hidrólisis de sales
2007,química,acido_base,Reserva 3,Ejercicio 6 Opción A,reacciones ácido /  base débil
2007,química,acido_base,Reserva 3,Ejercicio 4 Opción B,cuestión teórica
2007,química,acido_base,Reserva 4,Ejercicio 5 Opción A,reacciones ácido /  base débil
2007,química,acido_base,Reserva 4,Ejercicio 4 Opción B,hidrólisis de sales
2007,química,acido_base,Septiembre,Ejercicio 6 Opción A,neutralización ácido base
2007,química,acido_base,Septiembre,Ejercicio 4 Opción B,cuestión teórica
2006,química,acido_base,Junio,Ejercicio 4 Opción A,hidrólisis de sales
2006,química,acido_base,Reserva 1,Ejercicio 6 Opción A,reacciones ácido /  base débil
2006,química,acido_base,Reserva 1,Ejercicio 4 Opción B,neutralización ácido base
2006,química,acido_base,Reserva 2,Ejercicio 6 Opción A,reacciones ácido /  base débil
2006,química,acido_base,Reserva 2,Ejercicio 4 Opción B,cuestión teórica
2006,química,acido_base,Reserva 3,Ejercicio 6 Opción A,neutralización ácido base
2006,química,acido_base,Reserva 3,Ejercicio 4 Opción B,hidrólisis de sales
2006,química,acido_base,Reserva 4,Ejercicio 5 Opción A,neutralización ácido base
2006,química,acido_base,Reserva 4,Ejercicio 4 Opción B,neutralización ácido base
2006,química,acido_base,Septiembre,Ejercicio 3 Opción A,neutralización ácido base
2006,química,acido_base,Septiembre,Ejercicio 5 Opción B,reacciones ácido /  base débil
2005,química,acido_base,Junio,Ejercicio 3 Opción A,neutralización ácido base
2005,química,acido_base,Junio,Ejercicio 5 Opción B,reacciones ácido /  base débil
2005,química,acido_base,Reserva 1,Ejercicio 6 Opción A,reacciones ácido /  base débil
2005,química,acido_base,Reserva 2,Ejercicio 6 Opción A,neutralización ácido base
2005,química,acido_base,Reserva 2,Ejercicio 4 Opción B,hidrólisis de sales
2005,química,acido_base,Reserva 3,Ejercicio 6 Opción A,reacciones ácido /  base débil
2005,química,acido_base,Reserva 3,Ejercicio 4 Opción B,cuestión teórica
2005,química,acido_base,Reserva 4,Ejercicio 4 Opción B,cuestión teórica
2005,química,acido_base,Septiembre,Ejercicio 5 Opción A,reacciones ácido /  base débil
2005,química,acido_base,Septiembre,Ejercicio 4 Opción B,hidrólisis de sales
2004,química,acido_base,Junio,Ejercicio 3 Opción A,cuestión teórica
2004,química,acido_base,Junio,Ejercicio 5 Opción B,neutralización ácido base
2004,química,acido_base,Reserva 1,Ejercicio 6 Opción A,reacciones ácido /  base débil
2004,química,acido_base,Reserva 1,Ejercicio 4 Opción B,cuestión teórica
2004,química,acido_base,Reserva 2,Ejercicio 4 Opción B,neutralización ácido base
2004,química,acido_base,Reserva 3,Ejercicio 6 Opción A,neutralización ácido base
2004,química,acido_base,Reserva 3,Ejercicio 4 Opción B,cuestión teórica
2004,química,acido_base,Reserva 4,Ejercicio 6 Opción A,reacciones ácido /  base débil
2004,química,acido_base,Reserva 4,Ejercicio 4 Opción B,hidrólisis de sales
2004,química,acido_base,Septiembre,Ejercicio 5 Opción A,reacciones ácido /  base débil
2004,química,acido_base,Septiembre,Ejercicio 4 Opción B,cuestión teórica
2003,química,acido_base,Junio,Ejercicio 4 Opción B,cuestión teórica
2003,química,acido_base,Reserva 1,Ejercicio 6 Opción A,reacciones ácido /  base débil
2003,química,acido_base,Reserva 1,Ejercicio 4 Opción B,cuestión teórica
2003,química,acido_base,Reserva 2,Ejercicio 4 Opción A,cuestión teórica
2003,química,acido_base,Reserva 3,Ejercicio 3 Opción A,cuestión teórica
2003,química,acido_base,Reserva 3,Ejercicio 5 Opción B,neutralización ácido base
2003,química,acido_base,Reserva 4,Ejercicio 6 Opción A,reacciones ácido /  base débil
2003,química,acido_base,Reserva 4,Ejercicio 4 Opción B,cuestión teórica
2003,química,acido_base,Septiembre,Ejercicio 5 Opción A,neutralización ácido base
2003,química,acido_base,Septiembre,Ejercicio 4 Opción B,cuestión teórica
2002,química,acido_base,Junio,Ejercicio 5 Opción A,reacciones ácido /  base débil
2002,química,acido_base,Junio,Ejercicio 4 Opción B,hidrólisis de sales
2002,química,acido_base,Reserva 1,Ejercicio 6 Opción A,reacciones ácido /  base débil
2002,química,acido_base,Reserva 1,Ejercicio 4 Opción B,neutralización ácido base
2002,química,acido_base,Reserva 2,Ejercicio 4 Opción B,neutralización ácido base
2002,química,acido_base,Reserva 3,Ejercicio 3 Opción A,cuestión teórica
2002,química,acido_base,Reserva 3,Ejercicio 5 Opción B,neutralización ácido base
2002,química,acido_base,Reserva 4,Ejercicio 4 Opción B,verdadero o falso
2002,química,acido_base,Septiembre,Ejercicio 4 Opción A,cuestión teórica
2001,química,acido_base,Junio,Ejercicio 3 Opción A,neutralización ácido base
2001,química,acido_base,Junio,Ejercicio 5 Opción B,neutralización ácido base
2001,química,acido_base,Reserva 1,Ejercicio 6 Opción A,reacciones ácido /  base débil
2001,química,acido_base,Reserva 1,Ejercicio 4 Opción B,neutralización ácido base
2001,química,acido_base,Reserva 2,Ejercicio 6 Opción A,reacciones ácido /  base débil
2001,química,acido_base,Reserva 2,Ejercicio 3 Opción B,hidrólisis de sales
2001,química,acido_base,Reserva 4,Ejercicio 5 Opción A,neutralización ácido base
2001,química,acido_base,Reserva 4,Ejercicio 3 Opción B,cuestión teórica
2001,química,acido_base,Septiembre,Ejercicio 5 Opción A,reacciones ácido /  base débil
2001,química,acido_base,Septiembre,Ejercicio 4 Opción B,verdadero o falso
2000,química,acido_base,Junio,Ejercicio 4 Opción A,cuestión teórica
2000,química,acido_base,Junio,Ejercicio 6 Opción B,reacciones ácido /  base débil
2000,química,acido_base,Reserva 1,Ejercicio 3 Opción A,hidrólisis de sales
2000,química,acido_base,Reserva 1,Ejercicio 6 Opción B,reacciones ácido /  base débil
2000,química,acido_base,Reserva 2,Ejercicio 3 Opción A,hidrólisis de sales
2000,química,acido_base,Reserva 3,Ejercicio 5 Opción A,neutralización ácido base
2000,química,acido_base,Reserva 3,Ejercicio 3 Opción B,neutralización ácido base
2000,química,acido_base,Reserva 4,Ejercicio 4 Opción A,hidrólisis de sales
2000,química,acido_base,Reserva 4,Ejercicio 5 Opción B,reacciones ácido /  base débil
2000,química,acido_base,Septiembre,Ejercicio 4 Opción A,cuestión teórica
2013,química,cantidad_qui,,,
2013,química,cantidad_quimica,Junio,Ejercicio 4 Opción A,cantidad química
2013,química,cantidad_quimica,Reserva 1,Ejercicio 2 Opción B,cantidad química
2013,química,cantidad_quimica,Reserva 2,Ejercicio 2 Opción B,cantidad química
2013,química,cantidad_quimica,Reserva 3,Ejercicio 6 Opción A,estequiometría (riqueza)
2013,química,cantidad_quimica,Reserva 3,Ejercicio 2 Opción B,cantidad química
2013,química,cantidad_quimica,Reserva 4,Ejercicio 2 Opción B,cantidad química
2013,química,cantidad_quimica,Reserva 4,Ejercicio 5 Opción B,disoluciones
2013,química,cantidad_quimica,Septiembre,Ejercicio 5 Opción A,cantidad química
2013,química,cantidad_quimica,Septiembre,Ejercicio 5 Opción B,disoluciones
2013,química,cantidad_quimica,Junio,Ejercicio 4 Opción A,cantidad química
2013,química,cantidad_quimica,Reserva 1,Ejercicio 2 Opción B,cantidad química
2013,química,cantidad_quimica,Reserva 2,Ejercicio 2 Opción B,cantidad química
2012,química,cantidad_quimica,Junio,Ejercicio 2 Opción B,cantidad química
2012,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción A,estequiometría
2012,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción B,disoluciones
2012,química,cantidad_quimica,Reserva 2,Ejercicio 2 Opción B,cantidad química
2012,química,cantidad_quimica,Reserva 2,Ejercicio 6 Opción A,estequiometría (reactivo limitante)
2012,química,cantidad_quimica,Reserva 3,Ejercicio 2 Opción B,cantidad química
2012,química,cantidad_quimica,Reserva 4,Ejercicio 2 Opción B,cantidad química
2012,química,cantidad_quimica,Reserva 4,Ejercicio 5 Opción B,disoluciones
2012,química,cantidad_quimica,Septiembre,Ejercicio 4 Opción A,cantidad química
2012,química,cantidad_quimica,Junio,Ejercicio 2 Opción B,cantidad química
2012,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción A,estequiometría
2012,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción B,disoluciones
2012,química,cantidad_quimica,Reserva 2,Ejercicio 2 Opción B,cantidad química
2012,química,cantidad_quimica,Reserva 2,Ejercicio 6 Opción A,estequiometría (reactivo limitante)
2012,química,cantidad_quimica,Reserva 3,Ejercicio 2 Opción B,cantidad química
2012,química,cantidad_quimica,Reserva 4,Ejercicio 2 Opción B,cantidad química
2012,química,cantidad_quimica,Reserva 4,Ejercicio 5 Opción B,disoluciones
2012,química,cantidad_quimica,Septiembre,Ejercicio 4 Opción A,cantidad química
2011,química,cantidad_quimica,Junio,Ejercicio 6 Opción A,estequiometría (riqueza)
2011,química,cantidad_quimica,Junio,Ejercicio 2 Opción B,cantidad química
2011,química,cantidad_quimica,Reserva 1,Ejercicio 4 Opción A,disoluciones
2011,química,cantidad_quimica,Reserva 2,Ejercicio 2 Opción B,cantidad química
2011,química,cantidad_quimica,Reserva 3,Ejercicio 5 Opción A,estequiometría (rendimiento)
2011,química,cantidad_quimica,Reserva 3,Ejercicio 5 Opción B,disoluciones
2011,química,cantidad_quimica,Reserva 4,Ejercicio 2 Opción B,cantidad química
2011,química,cantidad_quimica,Septiembre,Ejercicio 2 Opción B,cantidad química
2011,química,cantidad_quimica,Septiembre,Ejercicio 5 Opción B,disoluciones
2011,química,cantidad_quimica,Junio,Ejercicio 6 Opción A,estequiometría (riqueza)
2011,química,cantidad_quimica,Junio,Ejercicio 2 Opción B,cantidad química
2011,química,cantidad_quimica,Reserva 1,Ejercicio 4 Opción A,disoluciones
2011,química,cantidad_quimica,Reserva 2,Ejercicio 2 Opción B,cantidad química
2011,química,cantidad_quimica,Reserva 3,Ejercicio 5 Opción A,estequiometría (rendimiento)
2011,química,cantidad_quimica,Reserva 3,Ejercicio 5 Opción B,disoluciones
2011,química,cantidad_quimica,Reserva 4,Ejercicio 2 Opción B,cantidad química
2011,química,cantidad_quimica,Septiembre,Ejercicio 2 Opción B,cantidad química
2011,química,cantidad_quimica,Septiembre,Ejercicio 5 Opción B,disoluciones
2010,química,cantidad_quimica,Junio,Ejercicio 2 Opción B,cantidad química
2010,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción A,estequiometría
2010,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción B,estequiometría (riqueza)
2010,química,cantidad_quimica,Reserva 2,Ejercicio 4 Opción A,cantidad química
2010,química,cantidad_quimica,Reserva 3,Ejercicio 2 Opción B,cantidad química
2010,química,cantidad_quimica,Reserva 4,Ejercicio 2 Opción B,estequiometría (reactivo limitante)
2010,química,cantidad_quimica,Reserva 4,Ejercicio 5 Opción B,disoluciones
2010,química,cantidad_quimica,Septiembre,Ejercicio 6 Opción A,estequiometría (reactivo limitante)
2010,química,cantidad_quimica,Septiembre,Ejercicio 2 Opción B,cantidad química
2010,química,cantidad_quimica,Junio,Ejercicio 2 Opción B,cantidad química
2010,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción A,estequiometría
2010,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción B,estequiometría (riqueza)
2010,química,cantidad_quimica,Reserva 2,Ejercicio 4 Opción A,cantidad química
2010,química,cantidad_quimica,Reserva 3,Ejercicio 2 Opción B,cantidad química
2010,química,cantidad_quimica,Reserva 4,Ejercicio 2 Opción B,estequiometría (reactivo limitante)
2010,química,cantidad_quimica,Reserva 4,Ejercicio 5 Opción B,disoluciones
2010,química,cantidad_quimica,Septiembre,Ejercicio 6 Opción A,estequiometría (reactivo limitante)
2010,química,cantidad_quimica,Septiembre,Ejercicio 2 Opción B,cantidad química
2009,química,cantidad_quimica,Junio,Ejercicio 4 Opción A,cantidad química
2009,química,cantidad_quimica,Reserva 1,Ejercicio 6 Opción A,estequiometría (riqueza)
2009,química,cantidad_quimica,Reserva 1,Ejercicio 2 Opción B,cantidad química
2009,química,cantidad_quimica,Reserva 2,Ejercicio 2 Opción B,cantidad química
2009,química,cantidad_quimica,Reserva 2,Ejercicio 4 Opción B,disoluciones
2009,química,cantidad_quimica,Reserva 3,Ejercicio 5 Opcion A,estequiometría (rendimiento)
2009,química,cantidad_quimica,Reserva 3,Ejercicio 5 Opción B,disoluciones
2009,química,cantidad_quimica,Reserva 4,Ejercicio 2 Opción B,cantidad química
2009,química,cantidad_quimica,Reserva 4,Ejercicio 5 Opción B,disoluciones
2009,química,cantidad_quimica,Septiembre,Ejercicio 2 Opción B,cantidad química
2009,química,cantidad_quimica,Junio,Ejercicio 4 Opción A,cantidad química
2009,química,cantidad_quimica,Reserva 1,Ejercicio 6 Opción A,estequiometría (riqueza)
2009,química,cantidad_quimica,Reserva 1,Ejercicio 2 Opción B,cantidad química
2009,química,cantidad_quimica,Reserva 2,Ejercicio 2 Opción B,cantidad química
2009,química,cantidad_quimica,Reserva 2,Ejercicio 4 Opción B,disoluciones
2009,química,cantidad_quimica,Reserva 3,Ejercicio 5 Opcion A,estequiometría (rendimiento)
2009,química,cantidad_quimica,Reserva 3,Ejercicio 5 Opción B,disoluciones
2009,química,cantidad_quimica,Reserva 4,Ejercicio 2 Opción B,cantidad química
2009,química,cantidad_quimica,Reserva 4,Ejercicio 5 Opción B,disoluciones
2009,química,cantidad_quimica,Septiembre,Ejercicio 2 Opción B,cantidad química
2008,química,cantidad_quimica,Junio,Ejercicio 2 Opción B,cantidad química
2008,química,cantidad_quimica,Junio,Ejercicio 5 Opción B,disoluciones
2008,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción A,estequiometría (riqueza)
2008,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción B,disoluciones
2008,química,cantidad_quimica,Reserva 2,Ejercicio 6 Opción A,estequiometría (riqueza)
2008,química,cantidad_quimica,Reserva 2,Ejercicio 2 Opción B,cantidad química
2008,química,cantidad_quimica,Reserva 3,Ejercicio 2 Opción B,cantidad química
2008,química,cantidad_quimica,Reserva 4,Ejercicio 2 Opción B,cantidad química
2008,química,cantidad_quimica,Septiembre,Ejercicio 4 Opción A,cantidad química
2008,química,cantidad_quimica,Junio,Ejercicio 2 Opción B,cantidad química
2008,química,cantidad_quimica,Junio,Ejercicio 5 Opción B,disoluciones
2008,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción A,estequiometría (riqueza)
2008,química,cantidad_quimica,Reserva 1,Ejercicio 5 Opción B,disoluciones
2008,química,cantidad_quimica,Reserva 2,Ejercicio 6 Opción A,estequiometría (riqueza)
2008,química,cantidad_quimica,Reserva 2,Ejercicio 2 Opción B,cantidad química
2008,química,cantidad_quimica,Reserva 3,Ejercicio 2 Opción B,cantidad química
2008,química,cantidad_quimica,Reserva 4,Ejercicio 2 Opción B,cantidad química
2008,química,cantidad_quimica,Septiembre,Ejercicio 4 Opción A,cantidad química
2007,química,cantidad_quimica,Junio,Ejercicio 4 Opción A,cantidad química
