año,convocatoria,ejercicio,tema,tipo_ejercicio
2010,Reserva 2,Ejercicio 6 Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2010,Reserva 3,Ejercicio 5 Opción A,Termoquímica,calor de reacción a volumen constante / energía interna
2010,Reserva 4,Ejercicio 5 Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2010,Septiembre,Ejercicio 5 Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2011,Junio,Ejercicio 5 Opción B,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2011,Reserva 1,Ejercicio 6 Opción A,Termoquímica,espontaneidad numérica
2011,Reserva 2,Ejercicio 4 Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2011,Reserva 2,Ejercicio 6 Opción B,Termoquímica,espontaneidad numérica
2011,Reserva 3,Ejercicio 3 Opción B,Termoquímica,verdadero o falso
2011,Reserva 4,Ejercicio 5 Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2011,Septiembre,Ejercicio 5 Opción A,Termoquímica,ley de Hess
2012,Junio,Ejercicio 4 Opción A,Termoquímica,espontaneidad razonamiento
2012,Junio,Ejercicio 6 Opción B,Termoquímica,calor de reacción a volumen constante / energía interna
2012,Reserva 1,Ejercicio 3 Opción B,Termoquímica,verdadero o falso
2012,Reserva 2,Ejercicio 5 Opción B,Termoquímica,ley de Hess
2012,Reserva 3,Ejercicio 5 Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2012,Reserva 4,Ejercicio 5 Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2012,Septiembre,Ejercicio 6 Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2012,Septiembre,Ejercicio 3 Opción B,Termoquímica,espontaneidad razonamiento
2013,Junio,Ejercicio 6 Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2013,Reserva 1,Ejercicio 4 Opción A,Termoquímica,espontaneidad razonamiento
2013,Reserva 2,Ejercicio 5 Opción A,Termoquímica,ley de Hess
2013,Reserva 3,Ejercicio 5 Opción B,Termoquímica,calor de reacción a volumen constante / energía interna
2013,Reserva 4,Ejercicio 5 Opción A,Termoquímica,ley de Hess
2013,Septiembre,Ejercicio 3 Opción B,Termoquímica,espontaneidad razonamiento
2014,Junio,Ejercicio 5 Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2014,Reserva 1,Ejercicio 5 Opción B,Termoquímica,calor de reacción a volumen constante / energía interna
2014,Reserva 2,Ejercicio 4 Opción A,Termoquímica,espontaneidad razonamiento
2014,Reserva 2,Ejercicio 6 Opción B,Termoquímica,ley de Hess
2014,Reserva 3,Ejercicio 3 Opción B,Termoquímica,espontaneidad razonamiento
2014,Reserva 4,Ejercicio 5 Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2014,Septiembre,Ejercicio 6 Opción A,Termoquímica,ley de Hess
2015,Junio,Ejercicio 6 Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2015,Reserva 1,Ejercicio 3 Opción B,Termoquímica,verdadero o falso
2015,Reserva 2,Ejercicio 6 Opción A,Termoquímica,ley de Hess
2015,Reserva 3,Ejercicio 5 Opción B,Termoquímica,ley de Hess
2015,Reserva 4,Ejercicio 5 Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2015,Septiembre,Ejercicio 5 Opción A,Termoquímica,calor de reacción a volumen constante / energía interna
2016,Junio,Ejercicio 3 Opción B,Termoquímica,verdadero o falso
2016,Reserva 1,Ejercicio 5 Opción A,Termoquímica,calor de reacción a volumen constante / energía interna
2016,Reserva 2,Ejercicio 4 Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2016,Reserva 2,Ejercicio 6 Opción B,Termoquímica,ley de Hess
2016,Reserva 3,Ejercicio 5 Opción B,Termoquímica,espontaneidad numérica
2016,Septiembre,Ejercicio 5 Opción A,Termoquímica,ley de Hess
2024,Reserva 1,Ejercicio C2,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2024,Reserva 2,Ejercicio B1,Termoquímica,verdadero o falso
2024,Reserva 3,Ejercicio C4,Termoquímica,espontaneidad numérica
2024,Julio,Ejercicio B5,Termoquímica,verdadero o falso
2025,Junio,Ejercicio 2A,Termoquímica,verdadero o falso
2025,Reserva 1,Ejercicio 3A,Termoquímica,espontaneidad numérica
2025,Reserva 2,Ejercicio 5,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2025,Julio,Ejercicio 2A,Termoquímica,espontaneidad razonamiento
2025,Julio,Ejercicio 5,Termoquímica,ley de Hess
